happiness," Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . "
happiness, Good.Let ' s go now . 
happiness," I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! "
happiness, It ’ s a wonderful Spanish style . 
happiness, And it ’ s a bargaining . A house like this in river side costs double the price . 
happiness, That ’ s a nice area too . It ’ ll be a good investment for you . 
neutral," I hate to admit it , but they're good . And fast . The Filipino kid is a genius . "
neutral," And if we don't need them , we won't need Zina , either . "
happiness,You look so tan and healthy ! 
neutral, Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods . 
happiness," Yeah , there isn ’ t a bad seat in the place . "
happiness," The fans are great here , too . Not like in Philadelphia . "
anxiety,I was scared stiff of giving my first performance . 
happiness, Were you ? your performance was excellent . 
happiness, All right . Say cheese ! 
neutral," At school , in China.This is my first time to be out of my own country . "
happiness, Thank you for you help . 
neutral, That ’ s your opinion not mine . 
neutral,"Hi , Mary . You look pale today . What's the matter with you ? "
happiness, How about the new bar across road ? 
neutral," the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones . "
happiness, Sure . Where shall I meet you ? 
happiness, See you . 
neutral, Could you move smoothly ? 
happiness, Take good care of yourself . 
neutral," if you got to class by riding a bicycle every day instead of driving , you will get lots of exercise , too ! "
neutral," I know , our schedules are so weird . Sometimes , the little corner store is the only thing within walking distance that ’ s open when we get home . "
neutral," Yes , 50 Yuan per month . "
neutral," No , I just for fun with my friends . We play two hand touch or flag football . We're too old to play tackle football . "
happiness," Exactly . We play every Saturdays on the field by the tennis courts . If you want to learn and play a little , you're welcome to join us . "
sadness," My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date . "
neutral, It starts at 8 
happiness," This party is going to have a DJ , food , and drinks . "
sadness, I am pretty sure that I am in trouble . 
anger,I'll never ever work together with him ! 
anger, Will you take my materials back from him for me ? Please ! 
anger,"Oh , my God ! I've been cheated ! "
anger, It's a brick ! I can't believe how stupid I was . Damn it ! 
anger," There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . "
neutral," I liked physics . It ’ s all math , really . arcs , curves , velocity , cool stuff . "
neutral," Turtles ? Whatever ... Look , all that ’ s required for the creation of matter an imbalance of particles and anti-particles . At least , that ’ s what the math says . "
anger,It smells like an ashtray in here ! 
anger, What ’ s wrong ? I thought we agreed that you were gonna quit smoking . 
anger," Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before . "
anger, Fine ! I want a divorce ! 
anger, Isn't there anything that sounds fishy ? 
sadness, I'm sorry to have made you disappointed . 
happiness,I'm going to Japan this year on vacation . 
happiness, I do like Thai food . Did you see much of Bangkok ? 
happiness, Thanks a lot . 
neutral, I hear many teenagers will spend hours and hours sitting at computers . And they don't care about their own health at all . How about you ? 
neutral,Mom . My legs are killing me . 
happiness, I love stir fry crispy bitesize vegetables covered in a mixture of soy sauce and oyster sauce . Wilted greens and fresh bean sprouts . Throw in some onion and garlic and ginger ! Mmm ! Mmm ! It ’ s almost lunchtime . I would die for a plate of stir fry right now ! 
neutral," Well , you can keep the vegetables , I ’ ll take the meat . The stir fry my wife made was really hearty , with chunks of beef and slivers of bell peppers and onion ... "
neutral, I Believe I will . Look for me near the lake . 
happiness, that's what friends are for . 
happiness, That's good . Do you live near here ? 
happiness, You're lucky ! 
happiness,"Happy anniversary , sweetheart ! "
happiness," OK , Mum . I'll invite my friends home . "
happiness,"How about seconds , Victor ? "
neutral, Thanks . Lovely day . Pity I ’ m on duty . 
happiness, Can I get the black ball in ? 
neutral, Ha ! It's not like you've ever been one to beat around the bush . 
neutral, Why doesn't he ask her ? 
happiness, Of course I should have ! You certainly deserve them ! You put up with all of us . 
happiness," I forgot what I put up with . In that case , I do deserve these flowers . "
neutral," The food was excellent , but Jane ordered a birthday cake , which they forgot about . So as you can see , you were not the only one . "
sadness," Oh , no . "
neutral, I would think this was the least they could do . 
neutral, After you . 
happiness,Mumm . Those burgers smell great . It's perfect day for a barbecue . 
happiness," It sure is . I'm glad it didn't rain . My name's Mike Gates , by the way . "
happiness," Oh , hi ! I'm Barbara Johnson . Nice to meet you . "
happiness, I'm sorry . What's your name again ? 
happiness," Barbara . But please , just call me Barb . "
happiness, So Barb ... what do you do ? 
happiness, I'm studying medicine . 
happiness,Wow ! I can't believe I'm standing here ! 
happiness," I've seen it so many times in books , but I never imagined I'd get to see it in person . "
happiness, really ? It sounds interesting . 
anxiety, It must be a haunted house . Are you frightened ? 
happiness,"Jim , how was your weekend ? "
happiness," That sounds like a lot of fun . Did you go swimming , too ? "
neutral,"What is the correct time , please ? "
happiness, Don't tell me you have a record player ! 
happiness," Yeah ! Where there is a will , there is a way . "
happiness, Certainly . 
anxiety,"Doris , I'm glad you're home . I'm terrified . I don't know what to do ! "
anxiety, I think someone is stalking me . 
anxiety," Yes , he was . I'm not imagining it.Finally , just when I got home , I turned around and looked at him.He was just standing there . He didn't smile . He just stood there . It was so obvious.What should I do ? I'm so scared . Can I call the police ? "
anxiety, Why can't I call the police now ? He was definitely following me ! 
happiness, You can ask me any question at any time . 
neutral, I think you ’ ll lay it to rest with the time flying . 
neutral, I remember that someone says that it is difficult to forget the people who don ’ t want to forget . 
neutral, What university would you enter ? 
happiness, Fun for you ! Do you get to do anything you want ? 
anger," Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer ! "
neutral,"Bill , how can you hear so happy today ? "
neutral, You knew Brain Locker ? 
happiness, You have a perfect taste ! 
neutral,What is the weather like today ? 
neutral," Yes , I do . I find it very relaxing . I often listen to Mozart or Bach in the evening after a hard day at work . "
neutral," Very few , unfortunately . "
sadness, My drives were terrible today . I kept slicing the ball into the roughs and sand traps . 
happiness,The concert was really great . 
happiness, The singing group used to be very popular . 
happiness, I can't believe they would play so good . 
happiness," Oh , that's OK . Let's just meet at the theater before the show , around 7:30 . "
neutral," No , it's the Japanese team . "
neutral," Okay , that's good . "
anger," What ? She was cheating on me with that ugly guy . Oh , no , I feel like such a loser . "
anger, But she lied to me . 
neutral," I am Mormon , so I go to the Church of Jesus Christ of Latter Day Saints . "
neutral, What ’ s the difference between this and other Churches ? 
happiness, Sounds good . When and where shall we meet ? 
neutral," His life is hanging by a thread , and he is under an emergency treatment . "
anger, For God's sake ! It's too bloody . How can people be so cruel ? 
anger, You can't prick the fish to please the sick tastes of some bloody people . 
anger," Just an animal ? But it has life too . If you want a tattoo , get one . It's your choice because you want it . But has anyone asked the fish if it wanted one ? "
happiness, Eighteen.Some friends are having a birthday party for me tonight.Do you want to come ? 
happiness," not only our annual sales brake a record , but our month by month earnings exceeded our forecast as well . After a two-year slump , we finally back in the black . "
happiness," Yes , I received the scholarship 3 times on end . "
happiness, Let ’ s go for a joy ride . 
neutral,Are you watching the soccer match tonight ? It must be the most exciting one in this season . 
happiness, Thank you . 
happiness, Me too . I ’ ll write to you once I get settled . But I have so much to do . You might have to wait a while . But I really will write to you . I love to write letters . I think it ’ s more meaning than the emails even than the phone call . 
happiness," Ha , yes , brilliant ! "
happiness, Thanks . 
neutral,I don't think the teacher had a right to say that . The teacher was wrong to have accused her in front of the whole class . 
happiness," Great , here are some flowers for you . I hope you like them . I was not sure if the color will suit your new apartment . "
happiness," Well , I don ’ t mean to boast but all the designs are done by myself and some colleagues are already trying to copy some of them for their new apartments . Look , they are making photos now of my designed kitchen . "
sadness," John , I am just not in the mood for this . "
sadness, I lost the table tennis game yesterday . 
sadness, I just don ’ t want to play table tennis any more . 
sadness, My opponent bowled me with the very first ball . I was wondering if it's appropriate for me to play table tennis . 
happiness," Well , then , may I invite you for the next dance ? "
happiness, Don't worry . I'm not much of a dancer myself . 
happiness, You're dancing so well . 
happiness," Oh , I like it . It's such a beautiful dance , but I can't do it well . What about you ? "
sadness,I just had a terrible week . 
sadness, I fell down and hurt my arm . 
happiness," I not only passed my test , but I aced it ! I'm so happy ! "
happiness," Sure , which beach are we going to ? "
neutral, What is the rate ? 
happiness, OK . I'll try a Pinto . I want to rent a car for one week . 
happiness," All right , sir . May I have your driver's license ? "
happiness, Here you are . 
happiness," Sure , I'd love to . "
neutral, It depends.But usually it's about 15 days . 
neutral, I've also got a terrible stomach-ache . Is my face still swollen ? 
neutral," no , the burn ointment seemed to take effect right away . I think it's already healed . "
neutral," sure , I'll just go and get it now . what would you like to eat ? Some soup ? "
